input_text,product,quantity,price_satuan,pattern
"mbak pesen 1 es kopi susu gula aren dan 5 telor penyet dong kak [SEP] noted kak es kopi susu gula aren 1 porsi 14rb sama telor penyet 5 porsi rp 64.000, total rp 78.000",es kopi susu gula aren & telor penyet,1 & 5,-1,4
mauuu mie ayambakso jumlahnya 10 [SEP] siap mie ayambakso rp25rb totalnya rp25rb kak,mie ayambakso,10,25000,3
"nasi pecel nganjuk telur pedes mampus sebotol, ayam paha atas hot lava 2 dong [SEP] baik kak, sebotol nasi pecel nganjuk telur (rp 36.000) + 2 ayam paha atas hot lava (rp 4.000) = 40.000 ya",nasi pecel nganjuk telur & ayam paha atas hot lava,sebotol & 2,-1,4
"pesan tiga piring nasi rawon sapi segelas naget taro ya kak [SEP] baik kak, tiga piring nasi rawon sapi (24rb) + segelas naget taro (39k) = 63 ribu ya",nasi rawon sapi & naget taro,tiga piring & segelas,-1,4
"chicken original double steak dibungkus 10, nasi udang pedas wangi reguler sebotol dong [SEP] noted kak chicken original double steak 10 porsi rp 7.000 sama nasi udang pedas wangi reguler sebotol porsi 52k, total 59rb",chicken original double steak & nasi udang pedas wangi reguler,10 & sebotol,-1,4
mau 6 empal telor penyet dong [SEP] oke empal telor penyet hrg rp27rb total 27k ya kak,empal telor penyet,6,27000,3
bg dua sop ayam dibungkus ya kak [SEP] baik kak,sop ayam,dua,-1,1
pesen olahan bakso udang nya seporsi porsi ya [SEP] oke olahan bakso udang harga rp48rb total rp48rb ya kak,olahan bakso udang,seporsi,48000,2
pesen toping siomay nya satu porsi dong kak [SEP] oke kak pesanannya masuk ya,toping siomay,satu,-1,1
"brownies tiramisu satu bungkus dan segelas ayam penyet jumbo no nasi ya [SEP] oke kak brownies tiramisu satu dan ayam penyet jumbo no nasi segelas, totalnya rp89rb",brownies tiramisu & ayam penyet jumbo no nasi,satu & segelas,-1,4
"ayam bakar dibungkus setengah, bakso petruk 5 nih [SEP] baik kak, setengah ayam bakar (rp 41.000) + 5 bakso petruk (rp 45.000) = 86.000 ya",ayam bakar & bakso petruk,setengah & 5,-1,4
7 ayam rica marina makan sini nih [SEP] siap kak,ayam rica marina,7,-1,2
boleh ord 5 nasi sayur telur asin dong [SEP] siap kak nasi sayur telur asin 57.000 per porsi ttl 57k ya,nasi sayur telur asin,5,57000,3
boleh pesan 4 ikan gembung bakarnasi [SEP] baik kak ikan gembung bakarnasi 20 ribu satuan totalnya 20 ribu,ikan gembung bakarnasi,4,20000,1
9 truffle chicken garlic cheese mentai dibungkus [SEP] siap kak truffle chicken garlic cheese mentai rp54rb per porsi total 54k ya,truffle chicken garlic cheese mentai,9,54000,1
kopi susu banana satu bungkus ya [SEP] siap kak kopi susu banana 36rb per porsi total 36k ya,kopi susu banana,satu,36000,2
"order 5 sop jagung kepiting, terus nasi belut pe nya 7 nih [SEP] oke kak sop jagung kepiting 5 dan nasi belut pe 7, totalnya 120rb",sop jagung kepiting & nasi belut pe,5 & 7,-1,4
mbak bisa pesan dua matcha latte mambo large pedes mampus kak [SEP] siap kak matcha latte mambo large 67 ribu per porsi total rp 67.000 ya,matcha latte mambo large,dua,67000,1
min iso book 3 nasi krengsengan spesial level dewa nih [SEP] siiaapp kak nasi krengsengan spesial 20 ribu per porsi total 20 ribu ya,nasi krengsengan spesial,3,20000,3
setengah biasa telor ayam rawit  ya kak [SEP] siap kak biasa telor ayam rawit rp18rb per porsi total 18k ya,biasa telor ayam rawit,setengah,18000,1
"pesan empal penyet 1 porsi dan wedang susu jahe panas sebungkus porsi nih [SEP] siap kak, empal penyet 52k dan wedang susu jahe panas rp33rb, jadi total 85rb ya",empal penyet & wedang susu jahe panas,1 & sebungkus,-1,4
kak mau pesen 2 nasi jagung anget aja nih [SEP] nasi jagung 46.000 ya kak jadi 46rb,nasi jagung,2,46000,1
mbak pesen bakso kuah dibungkus yang harganya rp 32.000 setengah porsi ya [SEP] baik kak bakso kuah rp 32.000 satuan totalnya rp 32.000,bakso kuah,setengah,32000,2
mau nasi penyetan lengkap jumlahnya satu ya kak [SEP] oke kak nasi penyetan lengkap harganya rp43rb totalnya 43.000,nasi penyetan lengkap,satu,43000,1
"pesan ayam bakar madu satu porsi dan mie kane mozarella 8 porsi dong [SEP] noted kak ayam bakar madu satu porsi rp43rb sama mie kane mozarella 8 porsi 59rb, total 102.000",ayam bakar madu & mie kane mozarella,satu & 8,-1,4
"mas mau 10 bakmi bebek peking sama tiga piring mie ayam bakso urat besar dong kak [SEP] oke kak bakmi bebek peking 10 dan mie ayam bakso urat besar tiga piring, totalnya 64 ribu",bakmi bebek peking & mie ayam bakso urat besar,10 & tiga piring,-1,4
beli 5 mie geprek bensu sambal embe pedas sedang dong kak [SEP] noted kak mie geprek bensu sambal embe 70rb per porsi totalnya 70 ribu,mie geprek bensu sambal embe,5,70000,1
1 ayam geprek  dong kak [SEP] noted kak ayam geprek 37.000 per porsi totalnya rp 37.000,ayam geprek,1,37000,1
mau nasi penyet lele jumlahnya seporsi [SEP] oke kak pesanannya masuk ya,nasi penyet lele,seporsi,-1,2
kk ayam goreng gak pake bawang segelas dong [SEP] ayam goreng rp22rb ya kak jadi 22k,ayam goreng,segelas,22000,1
pesan dua ayam penyet mini sambel pecaknasi anget aja dong [SEP] oke ayam penyet mini sambel pecaknasi harga 49rb total 49rb ya kak,ayam penyet mini sambel pecaknasi,dua,49000,2
"pesen dua itaewon mozzy chicken xxl dan seporsi soto madura masakan dong [SEP] siap kak, itaewon mozzy chicken xxl 53k dan soto madura masakan 62.000, jadi total 115rb ya",itaewon mozzy chicken xxl & soto madura masakan,dua & seporsi,-1,4
"min mau tiga piring nasi sambal udang asam sunti sama 7 nasi penyetan reguler ya [SEP] oke kak nasi sambal udang asam sunti tiga piring dan nasi penyetan reguler 7, totalnya 117k",nasi sambal udang asam sunti & nasi penyetan reguler,tiga piring & 7,-1,4
"kak pesen 5 pancong keju susu dan dua ayam sambal hijau dong [SEP] noted kak pancong keju susu 5 porsi rp19rb sama ayam sambal hijau dua porsi 36 ribu, total rp55rb",pancong keju susu & ayam sambal hijau,5 & dua,-1,4
"coto mangkasara sapi masakan level dewa sebotol, mie djoedes gokil standart tiga piring ya [SEP] oke kak coto mangkasara sapi masakan sebotol dan mie djoedes gokil standart tiga piring, totalnya rp 111.000",coto mangkasara sapi masakan & mie djoedes gokil standart,sebotol & tiga piring,-1,4
minta 9 es kelapa muda level dewa kak [SEP] oke kak pesanannya masuk ya,es kelapa muda,9,-1,3
beli 5 mie djoedes original makan sini nih [SEP] noted kak mie djoedes original 29k per porsi totalnya rp29rb,mie djoedes original,5,29000,3
"kk mau 2 mie ayam bakso urat besar sama sebungkus nasi penyet empal [SEP] baik kak, 2 mie ayam bakso urat besar (61.000) + sebungkus nasi penyet empal (25 ribu) = rp86rb ya",mie ayam bakso urat besar & nasi penyet empal,2 & sebungkus,-1,4
bg order es susu cao small level dewa 7 nih [SEP] siap es susu cao small 38k totalnya rp 38.000 kak,es susu cao small,7,38000,3
dua bakso jamur anget aja kak [SEP] siap kak bakso jamur 19rb per porsi total 19rb ya,bakso jamur,dua,19000,2
mau pesen satu coto mangkasara sapi masakan pedes mampus nih [SEP] baik kak coto mangkasara sapi masakan rp10rb satuan totalnya 10.000,coto mangkasara sapi masakan,satu,10000,3
mintk segelas susu susanti hazelnut level dewa dong kak [SEP] oke kak susu susanti hazelnut harganya 11.000 totalnya 11 rb,susu susanti hazelnut,segelas,11000,3
min pesen kebab ayam besar esnya dikit aja yang harganya 70rb 1 porsi ya kak [SEP] kebab ayam besar 70rb ya kak jadi rp 70.000,kebab ayam besar,1,70000,1
"order 2 double jus manja, terus teh manis nya setengah ya kak [SEP] baik kak, 2 double jus manja (rp 35.000) + setengah teh manis (39 ribu) = rp74rb ya",double jus manja & teh manis,2 & setengah,-1,4
min nasi rawon wong soeroboyo gak pake bawang segelas dong kak [SEP] siap kak nasi rawon wong soeroboyo rp 10.000 per porsi total 10rb ya,nasi rawon wong soeroboyo,segelas,10000,2
kak mau order dua chicken mac cheese gak pake bawang kak [SEP] noted kak chicken mac cheese rp13rb per porsi totalnya rp 13.000,chicken mac cheese,dua,13000,2
mau sebotol ayam geprek pedes mampus budget 13.000 ya [SEP] siap ayam geprek 13.000 totalnya 13 ribu kak,ayam geprek,sebotol,13000,1
min mau pesen 5 tepung susu asam untuk bayi pedas sedang dong [SEP] oke kak tepung susu asam untuk bayi harganya rp73rb totalnya 73.000,tepung susu asam untuk bayi,5,73000,3
kak mau order 10 es susu dibungkus ya kak [SEP] oke kak es susu harganya 70k totalnya 70 ribu,es susu,10,70000,2
beli 9 ayam sambal hijau esnya dikit aja kak [SEP] oke kak ayam sambal hijau harganya 4k totalnya 4.000,ayam sambal hijau,9,4000,1
"order 9 vegas chicken burger, terus chicken gyoza pizza nya sebotol dong kak [SEP] noted kak vegas chicken burger 9 porsi 5k sama chicken gyoza pizza sebotol porsi 26rb, total 31.000",vegas chicken burger & chicken gyoza pizza,9 & sebotol,-1,4
1 chicken mac cheese level dewa [SEP] chicken mac cheese 66rb ya kak jadi 66rb,chicken mac cheese,1,66000,2
mau nasi goreng aceh jumlahnya sebotol ya [SEP] baik kak,nasi goreng aceh,sebotol,-1,1
mau es emosi jumlahnya setengah dong kak [SEP] noted kak ditunggu ya,es emosi,setengah,-1,1
"pak pesen dua soto jeroan masakan dan 10 ayam iris dg saus kari [SEP] noted kak soto jeroan masakan dua porsi 30rb sama ayam iris dg saus kari 10 porsi rp 10.000, total 40k",soto jeroan masakan & ayam iris dg saus kari,dua & 10,-1,4
"pesan mie polos tiga piring porsi dan hazelnut ice latte 10 porsi ya [SEP] siap kak, mie polos 39 ribu dan hazelnut ice latte rp18rb, jadi total 57 ribu ya",mie polos & hazelnut ice latte,tiga piring & 10,-1,4
mau segelas tahu goreng esnya dikit aja budget 21.000 [SEP] noted kak tahu goreng 21.000 per porsi totalnya 21.000,tahu goreng,segelas,21000,1
mau setengah kwetiau ayam jamet pedes mampus budget 47rb ya [SEP] noted kak kwetiau ayam jamet 47rb per porsi totalnya 47.000,kwetiau ayam jamet,setengah,47000,2
kak mau order seporsi es pelangi dibungkus ya kak [SEP] oke kak es pelangi harganya rp38rb totalnya 38 ribu,es pelangi,seporsi,38000,1
"bg mau 8 nasi goreng telur mata sapi sama 1 cajun chicken omu kak [SEP] oke kak nasi goreng telur mata sapi 8 dan cajun chicken omu 1, totalnya 101.000",nasi goreng telur mata sapi & cajun chicken omu,8 & 1,-1,4
mbk pesen mie aceh ranjau frozen dibungkus yang harganya 19rb 2 porsi ya kak [SEP] oc kak mie aceh ranjau frozen hrgny 19rb totalnya 19.000,mie aceh ranjau frozen,2,19000,3
mau corndog mozabakso sapi jumlahnya 1 [SEP] siap kak corndog mozabakso sapi 49rb per porsi total 49.000 ya,corndog mozabakso sapi,1,49000,1
mau tiga piring jus sirsat esnya dikit aja budget rp50rb dong kak [SEP] siap kak jus sirsat rp50rb per porsi total 50 ribu ya,jus sirsat,tiga piring,50000,1
pesan satu nasi kebuli kambing makan sini dong [SEP] nasi kebuli kambing 36 ribu ya kak jadi 36rb,nasi kebuli kambing,satu,36000,2
"kk mau 5 abon goreng ayam sama sebungkus es teh manis menantea kak [SEP] siap kak, abon goreng ayam 68k dan es teh manis menantea 65.000, jadi total 133rb ya",abon goreng ayam & es teh manis menantea,5 & sebungkus,-1,4
bu jus sirsat esnya dikit aja tiga piring dong kak [SEP] siap kak,jus sirsat,tiga piring,-1,1
beli 5 pempek  dong kak [SEP] siap kak pempek 64.000 per porsi total 64rb ya,pempek,5,64000,2
1 chicken katsu set  nih [SEP] noted kak ditunggu ya,chicken katsu set,1,-1,1
"pesan setengah latte sebotol nasi bakar ya [SEP] noted kak latte setengah porsi 28k sama nasi bakar sebotol porsi 60k, total rp88rb",latte & nasi bakar,setengah & sebotol,-1,4
kak mau order sebotol jus marqisa level dewa kak [SEP] oke kak jus marqisa harganya rp 46.000 totalnya rp 46.000,jus marqisa,sebotol,46000,1
"mbak kerupuk sebotol sama nasi udang pedas wangi reguler seporsi nih [SEP] siap kak, kerupuk 53 ribu dan nasi udang pedas wangi reguler rp 18.000, jadi total 71 ribu ya",kerupuk & nasi udang pedas wangi reguler,sebotol & seporsi,-1,4
"siomay 9 bungkus dan 7 thai tea l [SEP] oke kak siomay 9 dan thai tea l 7, totalnya rp69rb",siomay & thai tea l,9 & 7,-1,4
maaasss pesen roti daging ayam esnya dikit aja yang harganya 32rb 6 porsi kak [SEP] siyaap kak roti daging ayam 32rb per porsi total 32k ya,roti daging ayam,6,32000,3
"nasi penyetan ayam 5 bungkus dan 6 ayam djontor ice tea dong kak [SEP] oke kak nasi penyetan ayam 5 dan ayam djontor ice tea 6, totalnya 93k",nasi penyetan ayam & ayam djontor ice tea,5 & 6,-1,4
"kk mie nyemek 7 sama sop bakso ikan sayur seporsi dong kak [SEP] oke kak mie nyemek 7 dan sop bakso ikan sayur seporsi, totalnya rp 77.000",mie nyemek & sop bakso ikan sayur,7 & seporsi,-1,4
"mau seporsi es pelangi sama dua es arbei ya kak [SEP] siap kak, es pelangi rp 38.000 dan es arbei 63.000, jadi total 101 ribu ya",es pelangi & es arbei,seporsi & dua,-1,4
boleh pesan 2 mie aceh kepiting anget aja nih [SEP] mie aceh kepiting 19k ya kak jadi 19 ribu,mie aceh kepiting,2,19000,1
"bu pesen setengah nasi pecel bledex dan satu brownies cokelat kak [SEP] siap kak, nasi pecel bledex 65k dan brownies cokelat 48k, jadi total 113 ribu ya",nasi pecel bledex & brownies cokelat,setengah & satu,-1,4
sebungkus teh hangat tempoe doloe pedes mampus kak [SEP] siyaap teh anget tempoe doloe 65k totalnya rp 65.000 kak,teh hangat tempoe doloe,sebungkus,65000,3
"nasi putih pedes mampus 3, mie djoedes original 8 [SEP] siap kak, nasi putih rp15rb dan mie djoedes original rp17rb, jadi total 32 ribu ya",nasi putih & mie djoedes original,3 & 8,-1,4
mas 3 tartar chicken rice feast level dewa ya kak [SEP] noted kak tartar chicken rice feast 35.000 per porsi totalnya 35.000,tartar chicken rice feast,3,35000,2
ayam di cabein nasi setengah bungkus ya bu [SEP] siap kak ayam di cabein nasi rp 4.000 per porsi total 4rb ya,ayam di cabein nasi,setengah,4000,2
8 mie goreng dprapatan  nih [SEP] siap kak mie goreng dprapatan rp 55.000 per porsi total 55k ya,mie goreng dprapatan,8,55000,2
"korean ramyeon chicken gak pake bawang 2, bowl chicken blackpaper 3 [SEP] baik kak, 2 korean ramyeon chicken (59rb) + 3 bowl chicken blackpaper (38.000) = 97k ya",korean ramyeon chicken & bowl chicken blackpaper,2 & 3,-1,4
maau extra kulit ayam krispy jumlahnya 2 ya kak [SEP] oke kak extra kulit ayam krispy harganya 21k totalnya 21.000,extra kulit ayam krispy,2,21000,3
mas order ayam goreng potong gak pake bawang 10 dong kak [SEP] noke kak ayam goreng potong harganya 33 rebu totalnya rp33rb,ayam goreng potong,10,33000,3
setengah chicken karaage curry bento esnya dikit aja kak [SEP] oke chicken karaage curry bento harga 52rb total 52rb ya kak,chicken karaage curry bento,setengah,52000,2
nasi penyet telortempetahu satu bungkus ya bu [SEP] oke kak nasi penyet telortempetahu harganya rp36rb totalnya 36 ribu,nasi penyet telortempetahu,satu,36000,1
"pak nasi sereh bungkus limasari tiga piring sama japanese curry chicken rice feast setengah nih [SEP] noted kak nasi sereh bungkus limasari tiga piring porsi 14.000 sama japanese curry chicken rice feast setengah porsi 37k, total 51rb",nasi sereh bungkus limasari & japanese curry chicken rice feast,tiga piring & setengah,-1,4
mau 2 ayam bakar madu esnya dikit aja dong [SEP] oke ayam bakar madu harga rp 52.000 total 52.000 ya kak,ayam bakar madu,2,52000,2
mbak order nasi campur krengsengan pedesssss sedang tiga piring ya kak [SEP] siap kak nasi campur krengsengan rp 45.000 per porsi ttl 45rb ya,nasi campur krengsengan,tiga piring,45000,3
bg 7 es kelapa muda dibungkus dong kak [SEP] noted kak ditunggu ya,es kelapa muda,7,-1,3
pesen nasi gurih ikan nya 10 porsi nih [SEP] baik kak nasi gurih ikan 64.000 satuan totalnya 64.000,nasi gurih ikan,10,64000,1
boleh pesan 4 telur ayam dadar gak pake bawang ya [SEP] noted kak telur ayam dadar 3k per porsi totalnya 3.000,telur ayam dadar,4,3000,2
pesen nasi goreng tapi bakso nya 2 porsi ya kak [SEP] baik kak,nasi goreng tapi bakso,2,-1,3
mau mie kuning goreng jumlahnya 10 dong [SEP] oke kak mie kuning goreng harganya 31k totalnya 31.000,mie kuning goreng,10,31000,2
maauuu 7 nasi karage omahan sambal merah gak pake bawang budget 48rb [SEP] ciap kak nasi karage omahan sambal merah 48rb per porsi total 48rb ya,nasi karage omahan sambal merah,7,48000,3
minta 6 es sarang kuntilanak level dewa kak [SEP] oke noted,es sarang kuntilanak,6,-1,3
"mas teh madu kurma 9 sama tahu goreng dua nih [SEP] siap kak, teh madu kurma rp 44.000 dan tahu goreng 58rb, jadi total rp102rb ya",teh madu kurma & tahu goreng,9 & dua,-1,4
pak order nasi goreng rumahan anget aja 1 kak [SEP] noted kak ditunggu ya,nasi goreng rumahan,1,-1,1
pesen rice box chicken fire nya 4 porsi ya kak [SEP] noted kak ditunggu ya,rice box chicken fire,4,-1,1
mau bakso jumbo iga jumlahnya sebotol ya [SEP] oke bakso jumbo iga harga 4rb total 4.000 ya kak,bakso jumbo iga,sebotol,4000,1
mau popcan kopi susu gula aren jumlahnya satu nih [SEP] oke kak popcan kopi susu gula aren harganya 12.000 totalnya 12k,popcan kopi susu gula aren,satu,12000,2
segelas chicken wings nyayap cheecorn level dewa nih [SEP] oke chicken wings nyayap cheecorn harga 31k total 31k ya kak,chicken wings nyayap cheecorn,segelas,31000,2
pesen nasi goreng ayam lada hitam nya 7 porsi [SEP] noted kak ditunggu ya,nasi goreng ayam lada hitam,7,-1,2
"nasi sayur telur asin 8 bungkus dan 7 nasi udang crispy ya [SEP] noted kak nasi sayur telur asin 8 porsi 65rb sama nasi udang crispy 7 porsi 45.000, total rp110rb",nasi sayur telur asin & nasi udang crispy,8 & 7,-1,4
mau segelas ayam penyet jumbo nasi pedas sedang ya [SEP] siap ayam penyet jumbo nasi 28rb totalnya rp28rb kak,ayam penyet jumbo nasi,segelas,28000,2
mau telur penyet jumlahnya 9 ya kak [SEP] oke kak pesanannya masuk ya,telur penyet,9,-1,3
"bg soto betawi setengah sama nasi penyet ayam sambal pencit 2 ya [SEP] noted kak soto betawi setengah porsi 74rb sama nasi penyet ayam sambal pencit 2 porsi rp30rb, total 104rb",soto betawi & nasi penyet ayam sambal pencit,setengah & 2,-1,4
"es sucha susu matcha seporsi bungkus dan 2 nasi goreng ndoweerrr dong [SEP] oke kak es sucha susu matcha seporsi dan nasi goreng ndoweerrr 2, totalnya 86k",es sucha susu matcha & nasi goreng ndoweerrr,seporsi & 2,-1,4
wedang ndalem prabu dua bgks ya kak [SEP] siap kak wedang ndalem prabu rp40rb per porsi ttl rp 40.000 ya,wedang ndalem prabu,dua,40000,3
mau sebotol kue pancong keju susu seloyang esnya dikit aja budget 68k nih [SEP] siap kak kue pancong keju susu seloyang 68k per porsi total 68 ribu ya,kue pancong keju susu seloyang,sebotol,68000,1
bisa pesan sebungkus nasi gurih perkedel level dewa nih [SEP] siap nasi gurih perkedel 42rb totalnya 42 ribu kak,nasi gurih perkedel,sebungkus,42000,2
pesan segelas nasi penyetan anget aja kak [SEP] siap nasi penyetan rp14rb totalnya 14.000 kak,nasi penyetan,segelas,14000,1
"min nasi goreng merah jumbo sebotol bungkus, beneran 31k kan ya kak [SEP] nasi goreng merah jumbo 31k ya kak jadi 31 ribu",nasi goreng merah jumbo,sebotol,31000,2
kak mau order 2 nasi goreng putih seafood pedes mampus ya kak [SEP] nasi goreng putih seafood 72.000 ya kak jadi 72k,nasi goreng putih seafood,2,72000,2
min mie kroyok teman anget aja 6 nih [SEP] oke mie kroyok teman hrg 9 ribu total 9rb ya kak,mie kroyok teman,6,9000,3
"order 3 teh manis, terus nasi goreng rumahan nya segelas [SEP] noted kak teh manis 3 porsi 73 ribu sama nasi goreng rumahan segelas porsi rp 63.000, total 136 ribu",teh manis & nasi goreng rumahan,3 & segelas,-1,4
pesan 4 ayam kfc nasi esnya dikit aja kak [SEP] oke ayam kfc nasi harga rp 5.000 total 5k ya kak,ayam kfc nasi,4,5000,2
nmw lamian kecap ayam jamur jumlahnya 9 nih [SEP] siyaph kak lamian kecap ayam jamur 58 rb per porsi ttl rp58rb ya,lamian kecap ayam jamur,9,58000,3
1 istimewa telor ayam sosis level dewa [SEP] oce kak istimewa telor ayam sosis hrgny 3.000 totalnya rp3rb,istimewa telor ayam sosis,1,3000,3
"pak pesen sebotol es cao gula jawa dan 1 nasi non kolesterol ya [SEP] noted kak es cao gula jawa sebotol porsi rp 69.000 sama nasi non kolesterol 1 porsi 6rb, total rp75rb",es cao gula jawa & nasi non kolesterol,sebotol & 1,-1,4
beli setengah nasi udang tepung penyet mkan sini nih [SEP] noted kak nasi udang tepung penyet 65.000 per porsi totalnya 65 rbuan,nasi udang tepung penyet,setengah,65000,3
es teh manis menantea 1 pack ya pak [SEP] siap kak es teh manisss menantea rp 40.000 per porsi ttl 40 rbuan ya,es teh manis menantea,1,40000,3
mau 7 taro pedas sedang [SEP] oke kak taro harganya 63 ribu totalnya 63.000,taro,7,63000,1
mie cemek jombo baksotelur sebotol bungkus ya kk [SEP] noted kak mie cemek jombo baksotelur rp43rb per porsi totalnya 43k,mie cemek jombo baksotelur,sebotol,43000,2
kak pesen lele bakar nasi anget aja yang harganya 50 ribu satu porsi nih [SEP] siap lele bakar nasi 50 ribu totalnya 50k kak,lele bakar nasi,satu,50000,2
setengah bakso urat besar pedes mampus ya [SEP] bakso urat besar 25k ya kak jadi rp 25.000,bakso urat besar,setengah,25000,1
mas bisa pesan segelas nasi karage omahan sambal merah gak pake bawang nih [SEP] siap nasi karage omahan sambal merah 25k totalnya rp 25.000 kak,nasi karage omahan sambal merah,segelas,25000,1
"lemon chicken dua bungkus, beneran rp 5.000 kan ya kak [SEP] noted kak lemon chicken rp 5.000 per porsi totalnya rp5rb",lemon chicken,dua,5000,2
pak order mie geprek bensu sambal embe  7 nih [SEP] oke mie geprek bensu sambal embe harga 39rb total rp39rb ya kak,mie geprek bensu sambal embe,7,39000,2
"mau 5 nasi chasio jumbo sama setengah sushi kimura platter [SEP] noted kak nasi chasio jumbo 5 porsi rp 63.000 sama sushi kimura platter setengah porsi rp 3.000, total 66.000",nasi chasio jumbo & sushi kimura platter,5 & setengah,-1,4
beli 7 teh madu kurma pedas sedang ya kak [SEP] teh madu kurma rp 19.000 ya kak jadi rp 19.000,teh madu kurma,7,19000,1
beli seporsi cilok kuah original frozen gak pake bawang dong [SEP] oke kak cilok kuah original frozen harganya 10.000 totalnya 10.000,cilok kuah original frozen,seporsi,10000,1
mbak order roti bakso sapi gak pake bawang seporsi ya [SEP] siap roti bakso sapi rp 50.000 totalnya 50k kak,roti bakso sapi,seporsi,50000,2
pesan seporsi jus pisang dibungkus ya kak [SEP] oke kak jus pisang harganya 22rb totalnya rp22rb,jus pisang,seporsi,22000,2
min bisa ord 2 mie kuah pedas sedang kak [SEP] oke mie kuah nharga rp 29.000 total rp 29.000 ya kak,mie kuah,2,29000,3
