input_text,product,quantity,price_satuan,pattern
minta 8 choco banana ya [SEP] choco banana 49.000 ya kak jadi rp 392.000,choco banana,8,49000,2
bu 9 corndog original full mozarella [SEP] baik kak corndog original full mozarella rp30rb satuan totalnya rp 270.000,corndog original full mozarella,9,30000,2
bg 5 corn dog mozarella original crispy dong [SEP] oke noted,corn dog mozarella original crispy,5,-1,1
pesan 10 nasi sayur perkedel kak [SEP] baik kak,nasi sayur perkedel,10,-1,1
min 3 lemon yogurt s nih [SEP] baik kak lemon yogurt s 71 ribu satuan totalnya rp 213.000,lemon yogurt s,3,71000,3
minta 6 banana rum ya kak [SEP] siap banana rum rp35rb totalnya 210 ribu kak,banana rum,6,35000,1
pesan 10 daun pepaya [SEP] baik kak daun pepaya 58.000 satuan totalnya 580 ribu,daun pepaya,10,58000,2
mau 3 lontong ayam dong kak [SEP] siap kak lontong ayam rp35rb per porsi total rp 105.000 ya,lontong ayam,3,35000,1
kak mau order 2 nasi ayam katsu crispy dong [SEP] nasi ayam katsu crispy rp75rb ya kak jadi 150k,nasi ayam katsu crispy,2,75000,1
minta 6 gimbab nih [SEP] oke gimbab harga rp16rb total 96 ribu ya kak,gimbab,6,16000,2
kk bisa pesan 8 milk shake bubble gum large nih [SEP] noted kak milk shake bubble gum large 42 ribu per porsi totalnya rp 336.000,milk shake bubble gum large,8,42000,1
kak 6 seblak bakso sosis mie bandung ya kak [SEP] siap kak seblak bakso sosis mie bandung 32rb per porsi ttl 192k ya,seblak bakso sosis mie bandung,6,32000,3
mau 9 original strawberry nih [SEP] siap original strawberry 18 ribu totalnya rp162rb kak,original strawberry,9,18000,2
pesan 9 tofu seafood bakar nih [SEP] siap tofu seafood bakar rp 3.000 totalnya 27.000 kak,tofu seafood bakar,9,3000,2
pesan 1 kacang belimbing rebus dong kak [SEP] siap kak kacang belimbing rebus 71rb per porsi total rp 71.000 ya,kacang belimbing rebus,1,71000,1
pesan 10 durian strudel half ya [SEP] oke kak pesanannya masuk ya,durian strudel half,10,-1,2
jalok 2 lodeh [SEP] oke kak lodeh harganya rp42rb totalnya rp 84.000,lodeh,2,42000,3
bang 7 biasa ayam jamur tbtelor bebek ya kak [SEP] oke kak biasa ayam jamur tbtelor bebek hrgny 28 ribu totalnya 196rb,biasa ayam jamur tbtelor bebek,7,28000,3
kak mau pesen 9 nasi ayam kongdhe dong kak [SEP] noted kak nasi ayam kongdhe 62k per porsi totalnya 558 ribu,nasi ayam kongdhe,9,62000,2
kak bisa pesan 6 lamtoro pete cina biji muda dong kak [SEP] siap kak lamtoro pete cina biji muda 28.000 per porsi total rp168rb ya,lamtoro pete cina biji muda,6,28000,1
9 menteng [SEP] noted kak ditunggu ya,menteng,9,-1,1
bisa pesan 1 abon gulung [SEP] noted kak abon gulung rp 17.000 per porsi totalnya 17rb,abon gulung,1,17000,2
5 penfolds koonunga hill chardonnay ya [SEP] siap kak,penfolds koonunga hill chardonnay,5,-1,2
kak mau order 10 ikan goreng potong kak [SEP] siap ikan goreng potong 71k totalnya 710.000 kak,ikan goreng potong,10,71000,1
boleh pesan 8 hot lychee tea ya [SEP] baik kak hot lychee tea 66k satuan totalnya rp 528.000,hot lychee tea,8,66000,1
1 udang goreng mayonize dong [SEP] noted kak udang goreng mayonize 62 ribu per porsi totalnya 62 ribu,udang goreng mayonize,1,62000,2
pak mau pesen 3 kacang galing segar ya kak [SEP] oke kacang galing segar harga rp65rb total rp 195.000 ya kak,kacang galing segar,3,65000,1
9 classic espresso double ya [SEP] siap classic espresso double 6rb totalnya 54.000 kak,classic espresso double,9,6000,1
beli 3 taro hot dong kak [SEP] siap kak taro hot rp 50.000 per porsi total 150.000 ya,taro hot,3,50000,2
boleh pesan 8 corn dog mozarella cappucinno ya [SEP] baik kak corn dog mozarella cappucinno 5rb satuan totalnya 40k,corn dog mozarella cappucinno,8,5000,1
7 orange mojitos [SEP] oke kak orange mojitos harganya 75 ribu totalnya rp525rb,orange mojitos,7,75000,1
kak mau order 6 avocado milk ya kak [SEP] oke avocado milk harga 3.000 total 18rb ya kak,avocado milk,6,3000,2
kak 7 creamy mayo large kak [SEP] siap kak creamy mayo large 49k per porsi total rp343rb ya,creamy mayo large,7,49000,2
kak mau pesen 4 serat manggis ya kak [SEP] noted kak ditunggu ya,serat manggis,4,-1,2
boleh pesan 6 ikan kerapu medium  bakargoreng nih [SEP] oke ikan kerapu medium  bakargoreng harga 74.000 total rp 444.000 ya kak,ikan kerapu medium  bakargoreng,6,74000,1
minta 5 nasi goreng ati ampela ya kak [SEP] oke nasi goreng ati ampela harga 16rb total rp 80.000 ya kak,nasi goreng ati ampela,5,16000,2
mau 10 mie godog udang ya kak [SEP] mie godog udang 28rb ya kak jadi rp280rb,mie godog udang,10,28000,3
minta 4 biasa telor ayam rawit nih [SEP] siap biasa telor ayam rawit 49.000 totalnya 196.000 kak,biasa telor ayam rawit,4,49000,2
minta 4 stik keju aroma kak [SEP] baik kak stik keju aroma rp 26.000 satuan totalnya 104rb,stik keju aroma,4,26000,2
pak 8 milk cheese garlic kak [SEP] oke kak milk cheese garlic harganya 6k totalnya 48k,milk cheese garlic,8,6000,1
minta 9 brioche loaf half ya [SEP] oke kak brioche loaf half hrgny 53 ribu totalnya 477rb,brioche loaf half,9,53000,3
beli 8 seblak sosis baso dong kak [SEP] oke kak seblak sosis baso hrgny 38 ribu totalnya 304.000,seblak sosis baso,8,38000,3
kak mau order 10 durian kupas black thorn nih [SEP] siap durian kupas black thorn 55rb totalnya 550.000 kak,durian kupas black thorn,10,55000,2
bu nbisa request 1 es sudo susu avocado dong kak [SEP] okokok es sudo susu avocado hrg 23 ribu total rp23rb ya kak,es sudo susu avocado,1,23000,3
kak mau order 9 vanilla ice latte dong [SEP] vanilla ice latte 3.000 ya kak jadi rp 27.000,vanilla ice latte,9,3000,3
boleh pesan 4 teh original besar dong kak [SEP] baik kak teh original besar 36rb satuan totalnya rp144rb,teh original besar,4,36000,1
ord 4 sate sapi dong [SEP] oke kak sate sapi hrgny 29k totalnya rp116rb,sate sapi,4,29000,3
pesan 2 chicken and waffle nih [SEP] noted kak chicken and waffle rp9rb per porsi totalnya rp18rb,chicken and waffle,2,9000,3
boleh pesan 2 mocha cold l [SEP] noted kak mocha cold l 45k per porsi totalnya 90k,mocha cold l,2,45000,2
kak nmau pesen 1 iced tokyo banana milk ya kak [SEP] noted kak iced tokyo banana milk rp 17.000 per porsi totalnya rp 17.000,iced tokyo banana milk,1,17000,3
beli 6 tahu jeletot ya [SEP] siap kak tahu jeletot 3k per porsi total 18.000 ya,tahu jeletot,6,3000,2
mau 5 ice cream chocolate dong [SEP] siap kak ice cream chocolate 15 ribu per porsi total 75.000 ya,ice cream chocolate,5,15000,1
minta 4 personal biryani kambing ya [SEP] noted kak personal biryani kambing 33 rb per porsi totalnya 132k,personal biryani kambing,4,33000,3
pesan 3 es soklat hazelnut kak [SEP] siap es soklat hazelnut 54k totalnya rp 162.000 kak,es soklat hazelnut,3,54000,3
minta 8 nasi gila ya kak [SEP] oke noted,nasi gila,8,-1,1
bang mau pesen 3 egg  cheese ya [SEP] siap kak egg  cheese 14.000 per porsi total 42 ribu ya,egg  cheese,3,14000,2
bang bisa pesan 2 tart cheese slice ya [SEP] key tart cheese slice harga 50 ribu total 100.000 ya kak,tart cheese slice,2,50000,3
pak bisa pesan 1 kebab lumer telur large dong kak [SEP] oke kebab lumer telur large harga 35rb total 35rb ya kak,kebab lumer telur large,1,35000,1
mbg bisa pesan 6 rica rica chicken rice mcd dong kak [SEP] baik kak rica rica chicken rice mcd 35k satuan totalnya 210 ribu,rica rica chicken rice mcd,6,35000,3
9 fg punch ya kak [SEP] oke siap kak,fg punch,9,-1,2
5 chococino nih [SEP] siapp kak chococino rp5rb per porsi total rp 25.000 ya,chococino,5,5000,3
kak mau pesen 4 singkong lepas keju dong kak [SEP] oke noted,singkong lepas keju,4,-1,1
kak mau order 3 seblak kornet [SEP] seblak kornet 72rb ya kak jadi 216k,seblak kornet,3,72000,2
kk mau pesen 9 roti pizza bulat dong kak [SEP] baik kak roti pizza bulat rp 60.000 satuan totalnya 540k,roti pizza bulat,9,60000,1
5 roti rasa nasi goreng spesial ya kak [SEP] siap kak roti rasa nasi goreng spesial 71 ribu per porsi total 355k ya,roti rasa nasi goreng spesial,5,71000,1
3 black jasmine kak [SEP] oke kak black jasmine harganya 61k totalnya 183 ribu,black jasmine,3,61000,3
min 9 donat yin yang ya kak [SEP] oke kak donat yin yang harganya 50.000 totalnya 450k,donat yin yang,9,50000,2
boleh pesan 8 cup cake vanilla dong kak [SEP] siap kak cup cake vanilla 5k per porsi total 40rb ya,cup cake vanilla,8,5000,3
boleh pesan 10 spicy luat small ya [SEP] spicy luat small 63.000 ya kak jadi 630 ribu,spicy luat small,10,63000,2
7 ayam kampung bakar ya [SEP] noted kak ayam kampung bakar rp 50.000 per porsi totalnya rp 350.000,ayam kampung bakar,7,50000,2
bg 10 seblak seafood toffu [SEP] noted kak ditunggu ya,seblak seafood toffu,10,-1,1
kak maauuu order 8 es garuda special nih [SEP] noted kak es garuda special 28k per porsi totalnya 224 rebu,es garuda special,8,28000,3
mau 9 roasted spring chicken dong [SEP] oke kak roasted spring chicken harganya rp25rb totalnya 225.000,roasted spring chicken,9,25000,1
kak mau order 2 dimsum bakar [SEP] siap kak dimsum bakar 49 ribu per porsi total 98.000 ya,dimsum bakar,2,49000,2
boleh pesan 5 sanger steam ya [SEP] uke kak sanger steam hrgny rp32rb totalnya 160.000,sanger steam,5,32000,3
pesan 5 brown rice genmaicha tea ya kak [SEP] baik kak brown rice genmaicha tea rp46rb satuan totalnya 230rb,brown rice genmaicha tea,5,46000,1
minta 10 nasi goreng special telur dong kak [SEP] siap kak nasi goreng special telur rp 14.000 per porsi total 140k ya,nasi goreng special telur,10,14000,2
pesan 7 hot choco dong [SEP] oke hot choco harga 53 ribu total 371k ya kak,hot choco,7,53000,2
kak mau pesen 6 gold digger kak [SEP] oke siap kak,gold digger,6,-1,3
mau 7 skippy nenas ya kak [SEP] oke skippy nenas harga 61k total 427.000 ya kak,skippy nenas,7,61000,2
mauk pesen 9 muffin cheese [SEP] baik kak muffin cheese rp33rb satuan totalnya rp297rb,muffin cheese,9,33000,3
mau 1 susu kocok boba coklat kak [SEP] noted kak susu kocok boba coklat 29.000 per porsi totalnya rp 29.000,susu kocok boba coklat,1,29000,2
boleh pesan 4 roti krim keju kak [SEP] baik kak roti krim keju rp 45.000 satuan totalnya rp 180.000,roti krim keju,4,45000,1
beli 10 black jasmine tea [SEP] noted kak black jasmine tea rp 50.000 per porsi totalnya rp500rb,black jasmine tea,10,50000,3
pesan 8 burger daging sapikeju ya [SEP] siap kak burger daging sapikeju 64 ribu per porsi total rp512rb ya,burger daging sapikeju,8,64000,2
pesan 7 tukha mee ya kak [SEP] oke tukha mee harga rp9rb total 63rb ya kak,tukha mee,7,9000,2
mau 5 iced honey lemon tea [SEP] noted kak iced honey lemon tea 72k per porsi totalnya rp 360.000,iced honey lemon tea,5,72000,3
mbak bisa pesan 4 sababay ludisia kak [SEP] siap sababay ludisia rp 68.000 totalnya rp 272.000 kak,sababay ludisia,4,68000,2
kk bisa pesan 6 lil bro chicken burger combo dong [SEP] oke kak lil bro chicken burger combo harganya 42rb totalnya 252k,lil bro chicken burger combo,6,42000,1
mbak bisa pesan 1 sosis panggang pedas ya kak [SEP] noted kak sosis panggang pedas 16 ribu per porsi totalnya 16rb,sosis panggang pedas,1,16000,1
minta 3 kt telor asin  ekor nih [SEP] noted kak ditunggu ya,kt telor asin  ekor,3,-1,2
minta 5 choco caramel panas ya,choco caramel panas,5,-1,3
bang 8 croissant eeg tart nih [SEP] siap kak,croissant eeg tart,8,-1,1
beli 4 best of chicken burger ya [SEP] oke kak best of chicken burger hrgny 49 ribu totalnya 196rb,best of chicken burger,4,49000,3
mbak bisa pesan 10 kwetiaw goreng udang ya kak [SEP] baik kak kwetiaw goreng udang rp31rb satuan totalnya 310 ribu,kwetiaw goreng udang,10,31000,2
minta 7 nutella choco mix nih [SEP] oke noted,nutella choco mix,7,-1,2
2 ayam nabati khas indonesia dong kak [SEP] oke kak ayam nabati khas indonesia harganya rp66rb totalnya 132 ribu,ayam nabati khas indonesia,2,66000,1
minta 2 susus kocok boba capucino kak [SEP] oke susus kocok boba capucino harga rp23rb total 46.000 ya kak,susus kocok boba capucino,2,23000,1
mas mau pesen 6 cold drink tiramisu ya [SEP] oke kak cold drink tiramisu harganya 71rb totalnya rp 426.000,cold drink tiramisu,6,71000,1
mau 6 vegan plain bagel ya kak [SEP] siap kak vegan plain bagel 60 ribu per porsi total 360 ribu ya,vegan plain bagel,6,60000,1
pak 3 almond brownie [SEP] oke kak pesanannya masuk ya,almond brownie,3,-1,3
beli 6 usus crispy ya [SEP] baik kak usus crispy 19rb satuan totalnya 114.000,usus crispy,6,19000,1
mau 6 sumpit nih [SEP] siap sumpit 49 ribu totalnya 294 ribu kak,sumpit,6,49000,2
mbak 4 ikan kakap bakar dong [SEP] noted kak ikan kakap bakar rp 7.000 per porsi totalnya 28rb,ikan kakap bakar,4,7000,2
kak mau pesen 1 oven cheese cassava nih [SEP] baik kak,oven cheese cassava,1,-1,2
minta 2 roti panggang keju susu kak [SEP] baik kak,roti panggang keju susu,2,-1,2
beli 1 rum raisin [SEP] oke kak rum raisin harganya 43rb totalnya rp 43.000,rum raisin,1,43000,1
kak maau order 3 brownies chocochip dong [SEP] brownies chocochip 17 ribu ya kak jadi 51k,brownies chocochip,3,17000,3
kak mau pesen 7 smooked beef crumbs nih [SEP] noted kak ditunggu ya,smooked beef crumbs,7,-1,3
10 tteomoza dong [SEP] noke kak tteomoza harganya rp 47.000 totalnya 470 ribu,tteomoza,10,47000,3
mau 7 es jasjus mangga dong [SEP] baik kak es jasjus mangga 73.000 satuan totalnya 511rb,es jasjus mangga,7,73000,1
boleh pesan 10 darkchoco caramel dong kak [SEP] noted kak darkchoco caramel rp29rb per porsi totalnya rp290rb,darkchoco caramel,10,29000,1
kk 5 baso aci tulang dong [SEP] noted kak ditunggu ya,baso aci tulang,5,-1,1
bu bisa pesan 1 popcorn chicken dong [SEP] popcorn chicken 21.000 ya kak jadi rp21rb,popcorn chicken,1,21000,3
mas 5 juice sirssk kak,juice sirssk,5,-1,1
kak mau order 7 ratteo big ya kak [SEP] qey ratteo big harga rp 20.000 total 140rb ya kak,ratteo big,7,20000,3
min 3 blueberry frappucino ya [SEP] oke blueberry frappucino harga rp20rb total 60.000 ya kak,blueberry frappucino,3,20000,2
minta 1 rock n roll sushi hot ya kak [SEP] siap kak rock n roll sushi hot 42 ribu per porsi total 42k ya,rock n roll sushi hot,1,42000,1
min bisa pesan 9 classic fried egg dong [SEP] classic fried egg rp 26.000 ya kak jadi 234.000,classic fried egg,9,26000,1
kk bisa pesan 5 tahutempe goreng tepung dong kak [SEP] tahutempe goreng tepung rp33rb ya kak jadi 165.000,tahutempe goreng tepung,5,33000,1
maauuu 9 daun jonghe segar ya [SEP] baik kak daun jonghe segar 24k satuan totalnya 216.000,daun jonghe segar,9,24000,3
mbak 8 keripik telor [SEP] oke kak pesanannya masuk ya,keripik telor,8,-1,2
kak mau order 8 funky kimboo dong [SEP] siap funky kimboo rp 54.000 totalnya 432.000 kak,funky kimboo,8,54000,3
3 bluberry roll kak [SEP] bluberry roll 32k ya kak jadi 96rb,bluberry roll,3,32000,2
mbak 5 spicy tuna roll dong kak [SEP] oke spicy tuna roll harga rp38rb total 190rb ya kak,spicy tuna roll,5,38000,2
beli 4 skewers chicken leg ya kak [SEP] oke kak skewers chicken leg harganya 45rb totalnya 180rb,skewers chicken leg,4,45000,1
beli 9 hot berry choco latte nih [SEP] oke hot berry choco latte harga 74rb total rp666rb ya kak,hot berry choco latte,9,74000,1
mau 5 buah naga sirsak nih [SEP] buah naga sirsak 35 ribu ya kak jadi 175rb,buah naga sirsak,5,35000,2
kak mau pesen 3 gadogado ratu dong kak [SEP] siap kak,gadogado ratu,3,-1,2
mas bisa pesan 10 ice millbro ya [SEP] oke ice millbro harga rp51rb total 510k ya kak,ice millbro,10,51000,2
boleh pesan 3 keripik pedas manis ya [SEP] baik kak keripik pedas manis 43.000 satuan totalnya 129 ribu,keripik pedas manis,3,43000,1
mas 9 sanger espresso cold dong kak [SEP] sanger espresso cold rp 30.000 ya kak jadi rp270rb,sanger espresso cold,9,30000,2
mau 8 ubi jalar rebus ya kak [SEP] noted kak ubi jalar rebus 16rb per porsi totalnya rp128rb,ubi jalar rebus,8,16000,1
minta 9 peanut french toast dong [SEP] oke kak peanut french toast hrgny rp 41.000 totalnya rp369rb,peanut french toast,9,41000,3
bang gelem pesen 3 hot plate ayam saus madu dong [SEP] baik kak hot plate ayam saus madu 66k satuan totalnya 198k,hot plate ayam saus madu,3,66000,3
pesan 1 keong dong kak [SEP] siap keong rp 70.000 totalnya rp70rb kak,keong,1,70000,2
kak mau order 10 milo tarik iced ya [SEP] siap milo tarik iced rp21rb totalnya 210rb kak,milo tarik iced,10,21000,2
kk mau pesen 8 blue hawaain dong [SEP] siap blue hawaain 5rb totalnya 40k kak,blue hawaain,8,5000,1
kk 9 double chicago cheese burger ya kak [SEP] oke double chicago cheese burger harga rp10rb total 90.000 ya kak,double chicago cheese burger,9,10000,2
kk 5 nasi goreng rempah pete dong [SEP] oke kak pesanannya masuk ya,nasi goreng rempah pete,5,-1,3
minta 6 roti lady finger beef ya kak [SEP] siap roti lady finger beef 10 ribu totalnya rp60rb kak,roti lady finger beef,6,10000,1
beli 9 ayam penyet ekonomis nih [SEP] ayam penyet ekonomis 12.000 ya kak jadi 108k,ayam penyet ekonomis,9,12000,1
boleh pesan 2 makaroni bakar dong kak [SEP] makaroni bakar rp67rb ya kak jadi rp134rb,makaroni bakar,2,67000,3
minta 4 beef bbq dong [SEP] oke noted,beef bbq,4,-1,2
bu 8 burger telur  sosis kak [SEP] burger telur  sosis rp 15.000 ya kak jadi 120.000,burger telur  sosis,8,15000,2
min bisa pesan 9 kopi panas ya [SEP] noted kak kopi panas 18.000 per porsi totalnya 162 rebu,kopi panas,9,18000,3
mau 8 ice avocado latte [SEP] oke kak ice avocado latte harganya 55k totalnya rp440rb,ice avocado latte,8,55000,2
minta 9 susu mango ya [SEP] baik kak,susu mango,9,-1,2
pesan 3 es kopi susu taro [SEP] oke kak es kopi susu taro harganya rp23rb totalnya 69k,es kopi susu taro,3,23000,1
mau 5 sausages bowl kak [SEP] uke sausages bowl harga 7rb total 35rb ya kak,sausages bowl,5,7000,3
mau 9 cokelat original ya kak [SEP] siap kak cokelat original 26 ribu per porsi total 234 ribu ya,cokelat original,9,26000,2
min mau pesen 9 kopi susu creamy dong kak [SEP] kopi susu creamy 5 rb ya kak jadi 45 ribu,kopi susu creamy,9,5000,3
kak mauuu order 2 naked burger plate nih [SEP] siiaapp naked burger plate 8rb totalnya 16 ribu kak,naked burger plate,2,8000,3
beli 9 nasi pecelurap empal [SEP] noted kak nasi pecelurap empal 63.000 per porsi totalnya 567rb,nasi pecelurap empal,9,63000,2
bang mau pesen 10 kwaci dong kak [SEP] siap kak kwaci 3k per porsi total 30rb ya,kwaci,10,3000,1
2 miehun kuah telur nih [SEP] oke kak pesanannya masuk ya,miehun kuah telur,2,-1,2
mbak 2 es jeruk [SEP] oke es jeruk harga 37rb total rp 74.000 ya kak,es jeruk,2,37000,1
mau 8 cheesy milk boba kitkat kak [SEP] oke cheesy milk boba kitkat harga rp 64.000 total rp512rb ya kak,cheesy milk boba kitkat,8,64000,1
kak mau pesen 10 cumi cumi goreng tepung ya kak,cumi cumi goreng tepung,10,-1,2
minta 5 teh hijau daun kering dong kak [SEP] noted kak teh hijau daun kering 64.000 per porsi totalnya rp 320.000,teh hijau daun kering,5,64000,1
10 nasi beef shortplate karamel gurih dong [SEP] baik kak nasi beef shortplate karamel gurih 10 ribu satuan totalnya 100 ribu,nasi beef shortplate karamel gurih,10,10000,2
bg 2 thai tea cold [SEP] siap kak thai tea cold 32k per porsi total 64k ya,thai tea cold,2,32000,2
minta 3 cheese whole ya kak [SEP] oke cheese whole harga 4k total rp 12.000 ya kak,cheese whole,3,4000,1
pak mau pesen 4 peanut butter chocolate kak [SEP] siap kak peanut butter chocolate 23 ribu per porsi total 92k ya,peanut butter chocolate,4,23000,1
2 petarung dong kak [SEP] noted kak ditunggu ya,petarung,2,-1,1
bang bisa pesan 10 choco avocado cheese ya kak [SEP] choco avocado cheese rp55rb ya kak jadi 550 ribu,choco avocado cheese,10,55000,2
pesan 7 telur asin dong kak [SEP] baik kak,telur asin,7,-1,1
kak mau order 5 kacang susu ya kak [SEP] siap kacang susu 64k totalnya rp320rb kak,kacang susu,5,64000,2
bang 6 badak dingin kak [SEP] siap kak,badak dingin,6,-1,1
min mau pesen 6 seaworld ya kak [SEP] noted kak seaworld 3.000 per porsi totalnya 18.000,seaworld,6,3000,1
mau pesen 10 pisang talas segar ya kak [SEP] oke kak pisang talas segar harganya 53k totalnya rp 530.000,pisang talas segar,10,53000,1
mau 7 fresh tiramisu milk [SEP] oke fresh tiramisu milk harga rp74rb total rp 518.000 ya kak,fresh tiramisu milk,7,74000,2
boleh pesan 3 spaghetti gamberetti dong kak [SEP] baik kak spaghetti gamberetti rp 73.000 satuan totalnya 219 ribu,spaghetti gamberetti,3,73000,1
mbak mau pesen 4 mojito kiwi dong kak [SEP] siap kak mojito kiwi 73rb per porsi total rp292rb ya,mojito kiwi,4,73000,1
boleh pesan 8 perkedel kentang dong kak [SEP] perkedel kentang 31 ribu ya kak jadi 248rb,perkedel kentang,8,31000,1
2 sop buntut masakan kak [SEP] siap sop buntut masakan rp39rb totalnya 78.000 kak,sop buntut masakan,2,39000,1
pesan 6 milo dessert box ya kak [SEP] noted kak milo dessert box 69rb per porsi totalnya rp 414.000,milo dessert box,6,69000,3
mas 1 set toast complete ya kak [SEP] siap kak set toast complete rp 5.000 per porsi total 5 ribu ya,set toast complete,1,5000,2
mau pesen 8 cake topper dong [SEP] cake topper 16k ya kak jadi 128.000,cake topper,8,16000,2
boleh pesan 5 kacang merah banda kering nih [SEP] shaps kak kacang merah banda kering rp15rb per porsi total 75.000 ya,kacang merah banda kering,5,15000,3
minta 4 nutella croffle [SEP] baik kak nutella croffle 13rb satuan totalnya 52 ribu,nutella croffle,4,13000,1
mau 9 muffin kak [SEP] oke kak muffin harganya 33rb totalnya rp 297.000,muffin,9,33000,2
kak mau order 9 donut meses nih [SEP] siap donut meses rp 13.000 totalnya 117k kak,donut meses,9,13000,2
mau 10 kerupuk ya kak [SEP] siap kerupuk rp 31.000 totalnya 310k kak,kerupuk,10,31000,1
pesan 7 president pizza in out [SEP] siap president pizza in out 12k totalnya 84rb kak,president pizza in out,7,12000,1
beli 9 pisang kepok goreng dong kak [SEP] oke pisang kepok goreng harga 75rb total 675 ribu ya kak,pisang kepok goreng,9,75000,1
mau pesen 10 tawar cake nih [SEP] noted kak tawar cake rp7rb per porsi totalnya 70 ribu,tawar cake,10,7000,2
pak 8 roti jumbo coklat dong [SEP] noted kak roti jumbo coklat rp44rb per porsi totalnya 352 ribu,roti jumbo coklat,8,44000,2
3 orong orong medan besar kak [SEP] siap orong orong medan besar 33k totalnya rp 99.000 kak,orong orong medan besar,3,33000,1
bg 2 pisang cokelat lumer dong [SEP] pisang cokelat lumer rp61rb ya kak jadi 122 ribu,pisang cokelat lumer,2,61000,3
kak mau order 2 mie goreng lada hitam dong kak [SEP] mie goreng lada hitam 56.000 ya kak jadi 112.000,mie goreng lada hitam,2,56000,2
5 cheese stick tube ya [SEP] oke cheese stick tube harga 43k total 215k ya kak,cheese stick tube,5,43000,1
mau 9 mango cube cake ya [SEP] noted kak mango cube cake 20rb per porsi totalnya rp180rb,mango cube cake,9,20000,2
bg 4 lotus cheese omelette nih [SEP] lotus cheese omelette 57 ribu ya kak jadi rp 228.000,lotus cheese omelette,4,57000,2
